S003,Country,WAVE,EVS_WVS
8,Albania,3,2
8,Albania,4,2
8,Albania,7,1
8,Albania,5,1
12,Algeria,4,2
12,Algeria,6,2
20,Andorra,7,2
20,Andorra,5,2
31,Azerbaijan,3,2
31,Azerbaijan,6,2
31,Azerbaijan,7,1
32,Argentina,7,2
32,Argentina,1,2
32,Argentina,2,2
32,Argentina,3,2
32,Argentina,4,2
32,Argentina,5,2
32,Argentina,6,2
36,Australia,7,2
36,Australia,1,2
36,Australia,3,2
36,Australia,5,2
36,Australia,6,2
50,Bangladesh,7,2
50,Bangladesh,3,2
50,Bangladesh,4,2
51,Armenia,3,2
51,Armenia,6,2
51,Armenia,7,1
51,Armenia,5,1
68,Bolivia,7,2
70,Bosnia Herzegovina,3,2
70,Bosnia Herzegovina,4,2
70,Bosnia Herzegovina,7,1
70,Bosnia Herzegovina,5,1
76,Brazil,7,2
76,Brazil,2,2
76,Brazil,3,2
76,Brazil,5,2
76,Brazil,6,2
100,Bulgaria,3,2
100,Bulgaria,5,2
100,Bulgaria,7,1
100,Bulgaria,2,1
100,Bulgaria,4,1
104,Myanmar,7,2
112,Belarus,2,2
112,Belarus,3,2
112,Belarus,6,2
112,Belarus,7,1
112,Belarus,4,1
112,Belarus,5,1
124,Canada,1,2
124,Canada,2,2
124,Canada,4,2
124,Canada,5,2
152,Chile,7,2
152,Chile,2,2
152,Chile,3,2
152,Chile,4,2
152,Chile,5,2
152,Chile,6,2
156,China,7,2
156,China,2,2
156,China,3,2
156,China,4,2
156,China,5,2
156,China,6,2
158,Taiwan ROC,7,2
158,Taiwan ROC,3,2
158,Taiwan ROC,5,2
158,Taiwan ROC,6,2
170,Colombia,7,2
170,Colombia,3,2
170,Colombia,5,2
170,Colombia,6,2
191,Croatia,3,2
191,Croatia,7,1
191,Croatia,4,1
191,Croatia,5,1
196,Cyprus,7,2
196,Cyprus,5,2
196,Cyprus,6,2
203,Czech Rep.,2,2
203,Czech Rep.,3,2
203,Czech Rep.,7,1
203,Czech Rep.,4,1
203,Czech Rep.,5,1
214,Dominican Rep.,3,2
218,Ecuador,7,2
218,Ecuador,6,2
222,El Salvador,3,2
231,Ethiopia,7,2
231,Ethiopia,5,2
233,Estonia,3,2
233,Estonia,6,2
233,Estonia,7,1
233,Estonia,2,1
233,Estonia,4,1
233,Estonia,5,1
